Drug_Index,Protein_Index,Kd (nM)
D25612,P1413,10700.0
D7882,P1674,10700.0
D21858,P1475,10700.0
D19641,P1475,10700.0
D25613,P1246,10700.0
D25614,P1838,10700.0
D23181,P1637,10700.0
D25615,P679,10700.0
D25129,P1805,10700.0
D23185,P346,10700.0
D25616,P806,10700.0
D25616,P806,10700.0
D25000,P1529,10700.0
D23250,P1849,10700.0
D5784,P193,10715.0
D6449,P193,10715.0
D5784,P193,10715.0
D25617,P526,10715.19
D23111,P616,10790.0
D25618,P276,10800.0
D25619,P1993,10800.0
D25620,P430,10800.0
D25621,P1683,10800.0
D25622,P392,10800.0
D25623,P1455,10800.0
D25624,P1805,10800.0
D24999,P1805,10800.0
D25625,P691,10800.0
D25626,P405,10800.0
D25627,P9,10800.0
D25628,P1092,10800.0
D25629,P1975,10820.0
D25630,P1396,10900.0
D25631,P1563,10900.0
D23599,P361,10900.0
D25632,P51,10900.0
D25633,P310,10964.78
D25634,P1531,10964.78
D5914,P263,10965.0
D6085,P502,10965.0
D9602,P502,10965.0
D5968,P502,10965.0
D25635,P257,10965.0
D25636,P423,10970.0
D25637,P1958,11000.0
D25638,P904,11000.0
D24647,P1312,11000.0
D24647,P1312,11000.0
D25605,P1992,11000.0
D25639,P1314,11000.0
D25640,P1619,11000.0
D25641,P1629,11000.0
D25642,P1928,11000.0
D25643,P35,11000.0
D25644,P726,11000.0
D25645,P356,11000.0
D25646,P356,11000.0
D25647,P356,11000.0
D25648,P356,11000.0
D25649,P356,11000.0
D25650,P356,11000.0
D25651,P356,11000.0
D25652,P356,11000.0
D25653,P356,11000.0
D25654,P356,11000.0
D25655,P356,11000.0
D25656,P356,11000.0
D25657,P356,11000.0
D25658,P356,11000.0
D25659,P356,11000.0
D25660,P356,11000.0
D25661,P356,11000.0
D25662,P356,11000.0
D25663,P356,11000.0
D25664,P356,11000.0
D25665,P356,11000.0
D25645,P356,11000.0
D25646,P356,11000.0
D25647,P356,11000.0
D25648,P356,11000.0
D25649,P356,11000.0
D25650,P356,11000.0
D25651,P356,11000.0
D25652,P356,11000.0
D25653,P356,11000.0
D25654,P356,11000.0
D25655,P356,11000.0
D25656,P356,11000.0
D25657,P356,11000.0
D25658,P356,11000.0
D25659,P356,11000.0
D25660,P356,11000.0
D25661,P356,11000.0
D25666,P356,11000.0
D25663,P356,11000.0
D25664,P356,11000.0
D25667,P356,11000.0
D25381,P432,11000.0
D25668,P432,11000.0
D25668,P432,11000.0
D7048,P205,11000.0
D21725,P205,11000.0
D25669,P867,11000.0
D24183,P205,11000.0
D21981,P23,11000.0
D23314,P1994,11000.0
D25670,P1885,11000.0
D25623,P1455,11000.0
D25671,P1995,11000.0
D22641,P295,11000.0
D22325,P1672,11000.0
D25672,P383,11000.0
D25673,P1251,11000.0
D25674,P1251,11000.0
D13484,P811,11000.0
D24083,P421,11000.0
D21089,P1996,11000.0
D25675,P1455,11000.0
D24462,P1166,11000.0
D25676,P1746,11000.0
D25677,P1746,11000.0
D25678,P1380,11000.0
D25679,P1997,11000.0
D58,P105,11000.0
D8420,P1998,11000.0
D20222,P666,11000.0
D20222,P1778,11000.0
D17081,P1778,11000.0
D18767,P1778,11000.0
D25680,P54,11000.0
D25681,P975,11000.0
D4738,P830,11000.0
D25682,P417,11000.0
D25490,P417,11000.0
D25683,P307,11000.0
D16514,P1745,11000.0
D14220,P1041,11000.0
D25684,P1274,11000.0
D25685,P361,11000.0
D25686,P808,11000.0
D697,P44,11000.0
D146,P105,11000.0
D954,P967,11000.0
D76,P34,11000.0
D7613,P336,11000.0
D25687,P351,11000.0
D621,P351,11000.0
D25688,P1767,11000.0
D25689,P1999,11000.0
D15796,P303,11000.0
D25690,P89,11000.0
D25691,P91,11000.0
D3642,P830,11000.0
D5620,P830,11000.0
D25692,P1669,11000.0
D25693,P454,11000.0
D25694,P917,11000.0
D25695,P9,11000.0
D13937,P303,11000.0
D21555,P1735,11000.0
D25696,P89,11000.0
D24224,P1215,11000.0
D24858,P1092,11000.0
D25697,P303,11020.0
D25698,P20,11040.0
D25699,P1669,11040.0
D25700,P617,11050.0
D25701,P874,11060.0
D25702,P1009,11100.0
D25702,P100,11100.0
D58,P105,11100.0
D21326,P32,11100.0
D20602,P32,11100.0
D20586,P1455,11100.0
D17987,P696,11100.0
D25703,P346,11100.0
D25704,P5,11100.0
D954,P967,11100.0
D7486,P38,11100.0
D602,P46,11100.0
D58,P105,11100.0
D25705,P573,11100.0
D25706,P1000,11100.0
D24340,P589,11100.0
D25707,P1413,11200.0
D25708,P374,11200.0
D24052,P844,11200.0
D9186,P625,11200.0
D25709,P974,11200.0
D25710,P974,11200.0
D25711,P1085,11200.0
D25712,P1658,11200.0
D25713,P832,11200.0
D25714,P1637,11200.0
D25715,P1715,11200.0
D25716,P52,11210.0
D11433,P1517,11220.0
D6231,P1517,11220.0
D25717,P526,11220.18
D25718,P1838,11300.0
D25719,P15,11300.0
D13827,P172,11300.0
D271,P46,11300.0
D25720,P1703,11300.0
D23734,P1703,11300.0
D23672,P1526,11300.0
D19578,P1409,11300.0
D25721,P1136,11300.0
D9232,P336,11357.0
D8172,P336,11357.0
D25722,P1773,11390.0
D7882,P1674,11400.0
D22073,P135,11400.0
D21851,P143,11400.0
D25723,P485,11400.0
D23206,P1429,11400.0
D25724,P1715,11400.0
D25725,P292,11400.0
D25726,P116,11410.0
D25727,P197,11480.0
D6681,P193,11482.0
D11434,P193,11482.0
D24171,P1976,11482.0
D25728,P374,11500.0
D25729,P1621,11500.0
D25730,P512,11500.0
D25731,P1878,11500.0
D25732,P589,11500.0
D25730,P52,11500.0
D25733,P524,11500.0
D25624,P1805,11500.0
D25734,P3,11500.0
D24381,P3,11500.0
D23939,P1274,11500.0
D25735,P374,11500.0
D25736,P616,11500.0
D25737,P616,11500.0
D25738,P1763,11530.0
D25739,P172,11600.0
D25450,P1771,11600.0
D25740,P1649,11600.0
D25741,P374,11600.0
D25742,P418,11600.0
D25743,P2000,11610.0
D21186,P1136,11680.0
D15322,P1444,11700.0
D25744,P1331,11700.0
D25190,P1620,11700.0
D21954,P1530,11700.0
D25745,P1805,11700.0
D25746,P123,11700.0
D14702,P2001,11700.0
D25747,P1649,11700.0
D25162,P2002,11700.0
D25748,P418,11700.0
D19126,P336,11749.0
D11434,P1517,11749.0
D9680,P502,11749.0
D25749,P92,11770.0
D25750,P244,11800.0
D25751,P221,11800.0
D898,P967,11800.0
D25752,P1274,11800.0
D25753,P1640,11800.0
D25754,P1429,11800.0
D7741,P646,11810.0
D25755,P303,11890.0
D16964,P452,11900.0
D25756,P771,11900.0
D25757,P1640,11900.0
D25758,P1667,11900.0
D25759,P2003,11900.0
D25759,P2003,11900.0
D17786,P1738,11930.0
D25760,P2,11958.0
D25760,P2,11958.0
D25152,P1491,12000.0
D25761,P1414,12000.0
D25762,P1765,12000.0
D13542,P1178,12000.0
D17162,P136,12000.0
D25763,P1884,12000.0
D25764,P1831,12000.0
D25765,P1928,12000.0
D25766,P138,12000.0
D25767,P35,12000.0
D20971,P346,12000.0
D23176,P62,12000.0
D25768,P1334,12000.0
D25769,P1783,12000.0
D7048,P205,12000.0
D24783,P417,12000.0
D25770,P266,12000.0
D25771,P149,12000.0
D24831,P1885,12000.0
D25772,P266,12000.0
D15049,P336,12000.0
D25773,P1838,12000.0
D24134,P247,12000.0
D25774,P1251,12000.0
D21089,P1966,12000.0
D25775,P197,12000.0
D24759,P561,12000.0
D25776,P302,12000.0
D24462,P1166,12000.0
D25777,P1746,12000.0
D25778,P1746,12000.0
D25779,P1746,12000.0
D25780,P572,12000.0
D22670,P1136,12000.0
D17898,P694,12000.0
D17081,P694,12000.0
D23959,P1778,12000.0
D14400,P628,12000.0
D25781,P1348,12000.0
D13144,P346,12000.0
D25782,P1293,12000.0
D25783,P1293,12000.0
D25784,P2004,12000.0
D23645,P247,12000.0
D24654,P115,12000.0
D25785,P134,12000.0
D24812,P465,12000.0
D6083,P830,12000.0
D22233,P1655,12000.0
D25786,P1136,12000.0
D25787,P1136,12000.0
D25788,P1136,12000.0
D25789,P1136,12000.0
D25589,P1136,12000.0
D25790,P1136,12000.0
D23578,P1136,12000.0
D17086,P241,12000.0
D16331,P402,12000.0
D25791,P210,12000.0
D13213,P1136,12000.0
D25792,P1136,12000.0
D25793,P27,12000.0
D25794,P629,12000.0
D21085,P119,12000.0
D25795,P417,12000.0
D12561,P1192,12000.0
D25796,P452,12000.0
D25797,P1384,12000.0
D25798,P354,12000.0
D25799,P1348,12000.0
D25800,P832,12000.0
D25801,P1852,12000.0
D25801,P666,12000.0
D19068,P1468,12000.0
D543,P44,12000.0
D146,P32,12000.0
D25505,P1799,12000.0
D429,P967,12000.0
D493,P967,12000.0
D3482,P34,12000.0
D6995,P31,12000.0
D898,P967,12000.0
D7613,P263,12000.0
D23905,P891,12000.0
D24404,P1655,12000.0
D25802,P1131,12000.0
D2727,P830,12000.0
D9439,P830,12000.0
D25803,P275,12000.0
D23809,P89,12000.0
D7067,P920,12000.0
D25804,P616,12000.0
D25805,P616,12000.0
D25806,P89,12000.0
D25807,P89,12000.0
D20454,P358,12000.0
D6393,P336,12023.0
D3551,P1517,12023.0
D3290,P502,12023.0
D24272,P307,12080.0
D25808,P1246,12100.0
D21023,P135,12100.0
D25809,P1075,12100.0
D25810,P1057,12100.0
D25811,P1972,12130.0
D25812,P1683,12200.0
D24834,P1805,12200.0
D429,P967,12200.0
D25813,P917,12200.0
D21618,P402,12276.0
D25814,P1677,12300.0
D22444,P1457,12300.0
D20586,P1794,12300.0
D25815,P1606,12300.0
D25816,P91,12300.0
D25117,P1354,12300.0
D25817,P506,12300.0
D9280,P310,12302.69
D9521,P336,12303.0
D3335,P336,12303.0
D3335,P336,12303.0
D25818,P1397,12303.0
D2545,P189,12303.0
D25819,P3,12330.0
D25820,P1347,12360.0
D25821,P1606,12400.0
D25822,P1805,12400.0
D25823,P1529,12400.0
D25824,P405,12400.0
D25825,P1832,12400.0
D25736,P616,12400.0
D25737,P616,12400.0
D24614,P985,12400.0
D25826,P1088,12410.0
D21784,P16,12500.0
D5958,P32,12500.0
D22621,P32,12500.0
D25827,P1683,12500.0
D21263,P135,12500.0
D23862,P48,12500.0
D23374,P519,12500.0
D25828,P104,12500.0
D25829,P1522,12500.0
D25830,P44,12500.0
D20579,P32,12500.0
D196,P31,12500.0
D103,P46,12500.0
D352,P967,12500.0
D21785,P16,12500.0
D22775,P1640,12500.0
D25831,P1669,12500.0
D15844,P1055,12560.0
D12478,P263,12589.0
D4906,P336,12589.0
D5915,P336,12589.0
D5915,P193,12589.0
D3551,P336,12589.0
D24170,P10,12589.0
D12478,P263,12589.0
D25832,P512,12589.0
D17319,P502,12589.0
D25833,P2005,12589.0
D25834,P2005,12589.0
D25835,P579,12589.0
D25836,P91,12589.0
D22296,P310,12589.25
D21973,P310,12589.25
D25837,P1531,12589.25
D25838,P1005,12589.25
D17802,P1818,12589.25
D11568,P526,12589.25
D25839,P1246,12600.0
D25623,P1455,12600.0
D22398,P1637,12600.0
D25840,P244,12600.0
D25841,P974,12600.0
D25842,P1832,12600.0
D25843,P1832,12600.0
D25844,P1487,12600.0
D24008,P1573,12600.0
D25844,P1487,12600.0
D15212,P2006,12600.0
D24663,P209,12658.0
D25845,P806,12700.0
D25845,P806,12700.0
D25846,P1274,12700.0
D9981,P1517,12756.0
D25847,P196,12770.0
D25848,P27,12800.0
D25849,P1246,12800.0
D25850,P1371,12800.0
D25851,P1088,12800.0
D25852,P1669,12800.0
D23210,P1686,12810.0
D25853,P303,12840.0
D25854,P41,12844.0
D6042,P193,12882.0
D6042,P193,12882.0
D4345,P502,12883.0
D25855,P1403,12900.0
D25856,P3,12900.0
D15224,P589,12900.0
D25857,P1010,12900.0
D25858,P1529,12900.0
D12975,P2007,12900.0
D7794,P336,12931.0
D23887,P292,12950.0
D25859,P1958,13000.0
D253,P1063,13000.0
D253,P983,13000.0
D20051,P740,13000.0
D19096,P1559,13000.0
D15344,P1178,13000.0
D25860,P1619,13000.0
D25861,P1912,13000.0
D25862,P35,13000.0
D25863,P1034,13000.0
D25864,P174,13000.0
D25865,P164,13000.0
D25866,P452,13000.0
D25867,P1334,13000.0
D25868,P205,13000.0
D23312,P71,13000.0
D13206,P71,13000.0
D23312,P71,13000.0
D22886,P71,13000.0
D25869,P149,13000.0
D25670,P1885,13000.0
D15532,P1885,13000.0
D25870,P27,13000.0
D20008,P72,13000.0
D25871,P232,13000.0
D25872,P1965,13000.0
D25873,P150,13000.0
D25874,P1244,13000.0
D25219,P1251,13000.0
D24986,P1251,13000.0
D25875,P302,13000.0
D25876,P1455,13000.0
D3152,P291,13000.0
D25877,P1825,13000.0
D25878,P52,13000.0
D25879,P1129,13000.0
D22023,P1778,13000.0
D20788,P1778,13000.0
D17387,P814,13000.0
D25880,P991,13000.0
D25881,P266,13000.0
D23312,P71,13000.0
D25882,P1931,13000.0
D7741,P646,13000.0
D25883,P3,13000.0
D25884,P1649,13000.0
D20589,P1655,13000.0
D17799,P255,13000.0
D25885,P1384,13000.0
D25886,P1746,13000.0
D25887,P1746,13000.0
D25888,P915,13000.0
D16669,P1468,13000.0
D25889,P354,13000.0
D25890,P2008,13000.0
D25865,P164,13000.0
D25891,P1852,13000.0
D19339,P46,13000.0
D20035,P46,13000.0
D25892,P962,13000.0
D1118,P105,13000.0
D697,P11,13000.0
D25893,P1236,13000.0
D25894,P1236,13000.0
D2685,P105,13000.0
D74,P967,13000.0
D352,P967,13000.0
D130,P967,13000.0
D350,P34,13000.0
D6719,P2009,13000.0
D16952,P345,13000.0
D23197,P1798,13000.0
D25720,P1640,13000.0
D25895,P1516,13000.0
D25895,P1516,13000.0
D25896,P1853,13000.0
D25897,P1600,13000.0
D6099,P830,13000.0
D25898,P2010,13000.0
D17956,P1935,13000.0
D25899,P28,13000.0
D23205,P1655,13000.0
D25900,P917,13000.0
D25901,P917,13000.0
D25902,P41,13000.0
D25903,P1735,13000.0
D22194,P1281,13100.0
D25904,P1838,13100.0
D25905,P1838,13100.0
D17987,P1625,13100.0
D20491,P135,13100.0
D25906,P1902,13100.0
D25907,P917,13100.0
D25908,P1640,13100.0
D25909,P3,13100.0
D25725,P292,13100.0
D21810,P292,13120.0
D25910,P1654,13160.0
D10207,P336,13183.0
D9350,P337,13183.0
D12829,P502,13183.0
D4980,P502,13183.0
D15606,P337,13183.0
D15241,P880,13199.0
D25911,P1403,13200.0
D25912,P1403,13200.0
D25913,P1683,13200.0
D25914,P1805,13200.0
D25915,P1719,13200.0
D18112,P20,13230.0
D15321,P1742,13300.0
D15212,P1609,13300.0
D25916,P1683,13300.0
D25917,P1683,13300.0
D15321,P1742,13300.0
D25918,P20,13300.0
D25919,P1805,13300.0
D21893,P895,13300.0
D25920,P813,13300.0
D24637,P3,13300.0
D22196,P1812,13400.0
D25921,P1455,13400.0
D25922,P25,13400.0
D25923,P367,13400.0
D19162,P1087,13400.0
D25924,P696,13400.0
D25925,P1613,13490.0
D25925,P1613,13490.0
D9980,P1517,13490.0
D5914,P336,13490.0
D19675,P10,13490.0
D19675,P10,13490.0
D25926,P427,13500.0
D22459,P1455,13500.0
D25927,P1840,13500.0
D25753,P1075,13500.0
D24848,P295,13500.0
D25928,P64,13520.0
D19835,P1136,13600.0
D23091,P1274,13600.0
D25929,P1057,13600.0
D16940,P1715,13600.0
D11727,P336,13647.0
D25814,P1677,13700.0
D20768,P135,13700.0
D16233,P268,13700.0
D25930,P322,13700.0
D24090,P1667,13700.0
D20590,P1563,13780.0
D25931,P696,13800.0
D25932,P1805,13800.0
D25933,P806,13800.0
D25933,P806,13800.0
D25934,P89,13800.0
D7741,P1669,13800.0
D7741,P1669,13800.0
D25935,P292,13800.0
D19126,P263,13804.0
D24077,P175,13804.0
D7652,P502,13804.0
D25936,P2,13834.0
D25936,P2,13834.0
D23091,P1274,13880.0
D25937,P1246,13900.0
D25938,P696,13900.0
D25745,P1805,13900.0
D25939,P44,13900.0
D2633,P967,13900.0
D19569,P485,13900.0
D5862,P116,13900.0
D25940,P1088,13950.0
D25941,P1403,14000.0
D25942,P1403,14000.0
D25943,P904,14000.0
D25944,P1046,14000.0
D25228,P1453,14000.0
D25945,P138,14000.0
D25946,P138,14000.0
D25947,P138,14000.0
D25948,P225,14000.0
D25948,P225,14000.0
D25949,P164,14000.0
D21867,P956,14000.0
D25950,P432,14000.0
D25950,P432,14000.0
D25951,P1969,14000.0
D23314,P483,14000.0
D25952,P149,14000.0
D25953,P3,14000.0
D19549,P72,14000.0
D24134,P295,14000.0
D25954,P232,14000.0
D25955,P1965,14000.0
D3645,P1530,14000.0
D22657,P1136,14000.0
D25956,P1251,14000.0
D11154,P363,14000.0
D24524,P1996,14000.0
D25957,P1746,14000.0
D25958,P196,14000.0
D25959,P1383,14000.0
D18633,P694,14000.0
D19487,P694,14000.0
D20788,P694,14000.0
D23697,P1778,14000.0
D19801,P1778,14000.0
D21104,P1778,14000.0
D18572,P814,14000.0
D25960,P346,14000.0
D25961,P764,14000.0
D25962,P2011,14000.0
D22333,P797,14000.0
D25963,P401,14000.0
D24812,P465,14000.0
D19061,P39,14000.0
D520,P1454,14000.0
D24148,P1213,14000.0
D25964,P1898,14000.0
D25965,P1746,14000.0
D25949,P164,14000.0
D25684,P1274,14000.0
D25966,P808,14000.0
D181,P32,14000.0
D526,P46,14000.0
D527,P46,14000.0
D2664,P38,14000.0
D25967,P1236,14000.0
D25968,P1236,14000.0
D493,P105,14000.0
D6995,P46,14000.0
D2532,P967,14000.0
D2633,P967,14000.0
D25969,P20,14000.0
D24000,P1655,14000.0
D25970,P1655,14000.0
D25971,P43,14000.0
D25971,P43,14000.0
D4383,P830,14000.0
D3246,P830,14000.0
D25972,P308,14000.0
D24790,P308,14000.0
D25973,P1037,14000.0
D25974,P676,14000.0
D9934,P135,14000.0
D22260,P2012,14000.0
D24688,P2013,14030.0
D9440,P830,14090.0
D23424,P1705,14090.0
D25975,P1413,14100.0
D25976,P616,14100.0
D24193,P1667,14100.0
D25977,P1954,14100.0
D22708,P1704,14100.0
D25978,P813,14100.0
D25979,P1092,14100.0
D7509,P193,14125.0
D24524,P1996,14125.0
D9188,P502,14125.0
D15666,P1531,14125.38
D25980,P35,14169.0
D22632,P1457,14200.0
D25981,P392,14200.0
D24870,P1794,14200.0
D25982,P1606,14200.0
D23080,P1075,14200.0
D25983,P1640,14200.0
D25759,P2003,14200.0
D25759,P2003,14200.0
D25984,P813,14200.0
D25985,P1854,14200.0
D25986,P2014,14200.0
D9804,P589,14225.0
D17840,P402,14232.0
D23530,P32,14300.0
D25987,P1396,14300.0
D25988,P1805,14300.0
D176,P105,14300.0
D127,P34,14300.0
D3480,P32,14300.0
D506,P1216,14300.0
D25989,P2015,14300.0
D25990,P506,14300.0
D25805,P616,14300.0
D25991,P908,14330.0
D25992,P1864,14340.0
D8404,P64,14400.0
D21913,P3,14400.0
D25993,P1038,14400.0
D25994,P2016,14400.0
D23702,P1703,14400.0
D25995,P43,14400.0
D25995,P43,14400.0
D25996,P1375,14430.0
D13545,P336,14454.0
D25997,P26,14454.0
D9455,P1026,14454.0
D21622,P1637,14500.0
D19941,P2017,14500.0
D24765,P1667,14500.0
D25998,P542,14500.0
D25999,P41,14550.0
D26000,P292,14580.0
D26001,P1653,14600.0
D26002,P1805,14600.0
D24246,P1640,14600.0
D26003,P3,14670.0
D26004,P1246,14700.0
D26005,P25,14700.0
D23185,P797,14700.0
D26006,P917,14700.0
D26007,P1773,14720.0
D6393,P1517,14791.0
D6131,P336,14791.0
D22055,P502,14791.0
D17113,P502,14791.0
D25702,P1009,14800.0
D26008,P1683,14800.0
D26009,P1085,14800.0
D26010,P5,14800.0
D26011,P573,14800.0
D20446,P1703,14800.0
D21506,P1075,14800.0
D26012,P1640,14800.0
D26013,P1715,14800.0
D26014,P1246,14900.0
D26015,P1683,14900.0
D26016,P1838,14900.0
D26017,P1649,14900.0
D23201,P244,14900.0
D26018,P2018,14900.0
D26019,P2,14934.0
D26019,P2,14934.0
D26020,P904,15000.0
D26021,P904,15000.0
D26022,P346,15000.0
D26023,P2019,15000.0
D26024,P1619,15000.0
D26025,P1912,15000.0
D13237,P472,15000.0
D26026,P2020,15000.0
D26027,P1928,15000.0
D26028,P174,15000.0
D26029,P123,15000.0
D26030,P164,15000.0
D26029,P123,15000.0
D18160,P209,15000.0
D26031,P1334,15000.0
D16672,P1783,15000.0
D26032,P1969,15000.0
D26033,P3,15000.0
D24259,P1457,15000.0
D23830,P1457,15000.0
D26034,P392,15000.0
D26034,P392,15000.0
D26035,P149,15000.0
D26036,P149,15000.0
D26037,P1258,15000.0
D18702,P238,15000.0
D25080,P1445,15000.0
D19916,P817,15000.0
D26038,P278,15000.0
D26039,P278,15000.0
D26040,P1251,15000.0
D26041,P1193,15000.0
D24242,P361,15000.0
D24242,P361,15000.0
D26042,P1746,15000.0
D19801,P666,15000.0
D26043,P35,15000.0
D26044,P346,15000.0
D26045,P266,15000.0
D26046,P3,15000.0
D23629,P1655,15000.0
D26047,P1649,15000.0
D3454,P830,15000.0
D26048,P629,15000.0
D26049,P629,15000.0
D26050,P417,15000.0
D26037,P1258,15000.0
D26051,P307,15000.0
D26052,P1746,15000.0
D26053,P436,15000.0
D26053,P273,15000.0
D26054,P485,15000.0
D25087,P666,15000.0
D13828,P478,15000.0
D26055,P1236,15000.0
D2704,P105,15000.0
D72,P967,15000.0
D25970,P1655,15000.0
D26056,P1433,15000.0
D26057,P1433,15000.0
D26058,P1516,15000.0
D26058,P1516,15000.0
D21509,P1409,15000.0
D26059,P991,15000.0
D6725,P830,15000.0
D4920,P830,15000.0
D3292,P830,15000.0
D26060,P1669,15000.0
D26061,P1901,15000.0
D11944,P367,15000.0
D26062,P1435,15000.0
D26063,P84,15000.0
D26064,P164,15000.0
D26065,P1917,15000.0
D26066,P332,15000.0
D26067,P13,15000.0
D26068,P429,15000.0
D26069,P1556,15000.0
D26070,P1556,15000.0
D5833,P20,15010.0
D12825,P1530,15100.0
D26071,P89,15100.0
D23348,P1862,15100.0
D26072,P1371,15100.0
D19560,P367,15100.0
D19782,P1613,15130.0
D5784,P336,15136.0
D4500,P336,15136.0
D5784,P336,15136.0
D26073,P1531,15136.0
D4537,P284,15136.0
D9455,P596,15136.0
D26074,P1940,15190.0
D26075,P1396,15190.0
D26076,P383,15200.0
D26077,P917,15200.0
D19460,P418,15200.0
D26078,P1505,15200.0
D24278,P135,15210.0
D26079,P52,15220.0
D26080,P1654,15250.0
D26081,P374,15260.0
D26082,P278,15300.0
D26083,P1895,15300.0
D26084,P917,15300.0
D26085,P1686,15300.0
D13319,P1880,15400.0
D26086,P25,15400.0
D26087,P3,15400.0
D26088,P52,15400.0
D25182,P1805,15400.0
D26089,P1805,15400.0
D26090,P27,15400.0
D15328,P11,15400.0
D21900,P485,15400.0
D26091,P917,15400.0
D23906,P1640,15400.0
D26092,P1640,15400.0
D26093,P41,15428.0
D5672,P336,15488.0
D26086,P25,15488.0
D26094,P512,15488.0
D8119,P502,15488.0
D21174,P1409,15500.0
D26095,P896,15500.0
D26096,P2021,15500.0
D26097,P777,15500.0
D25752,P1274,15500.0
D23130,P1640,15500.0
D11894,P26,15500.0
D11894,P26,15500.0
D26098,P2,15593.0
D26098,P2,15593.0
D19633,P1009,15600.0
D19633,P100,15600.0
D26099,P664,15600.0
D26100,P52,15600.0
D23557,P1703,15600.0
D26101,P1000,15600.0
D26101,P1000,15600.0
D12838,P1069,15600.0
D26102,P1899,15700.0
D26103,P1972,15700.0
D23053,P1467,15700.0
D26104,P1847,15700.0
D26105,P1507,15700.0
D26106,P1854,15700.0
D26107,P1403,15800.0
D22111,P135,15800.0
D26108,P1038,15800.0
D26109,P1805,15800.0
D26110,P1746,15800.0
D26111,P1289,15800.0
D26112,P89,15800.0
D25723,P485,15800.0
D26113,P89,15800.0
D26114,P1669,15800.0
D26115,P43,15800.0
D25967,P1435,15800.0
D26123,P579,15800.0
D18581,P1548,15810.0
D24540,P143,15848.93
D20960,P310,15848.93
D26116,P1005,15848.93
D26117,P1005,15848.93
D26118,P26,15849.0
D7509,P336,15849.0
D26119,P26,15849.0
D17025,P312,15849.0
D15021,P312,15849.0
D21583,P591,15849.0
D21583,P592,15849.0
D12988,P1145,15849.0
D26120,P2005,15849.0
D26121,P579,15849.0
D26122,P579,15849.0
D7894,P581,15849.0
D7894,P580,15849.0
D7894,P579,15849.0
D26124,P430,15900.0
D26125,P1396,15900.0
D6152,P24,15900.0
D26126,P52,15900.0
D26127,P1746,15900.0
D26128,P405,15900.0
D25058,P725,15900.0
D22854,P1704,15900.0
D26129,P591,15900.0
D6152,P24,15942.0
D24772,P2013,15980.0
D15368,P341,16000.0
D26130,P2019,16000.0
D253,P819,16000.0
D26131,P1491,16000.0
D21638,P80,16000.0
D11724,P1836,16000.0
D26132,P1928,16000.0
D25729,P1620,16000.0
D26133,P35,16000.0
D26134,P616,16000.0
D26135,P174,16000.0
D26028,P174,16000.0
D26136,P174,16000.0
D26137,P164,16000.0
D19739,P995,16000.0
D26138,P205,16000.0
D19992,P205,16000.0
D22557,P205,16000.0
D26139,P266,16000.0
D26140,P266,16000.0
D24073,P895,16000.0
D26141,P150,16000.0
D21171,P72,16000.0
D24531,P295,16000.0
D26142,P150,16000.0
D20438,P72,16000.0
D23014,P135,16000.0
D17387,P694,16000.0
D26143,P1771,16000.0
D25939,P44,16000.0
D26144,P2022,16000.0
D26145,P1931,16000.0
D26146,P1876,16000.0
D26147,P401,16000.0
D26148,P1297,16000.0
D26149,P233,16000.0
D26150,P2023,16000.0
D26150,P2023,16000.0
D26151,P175,16000.0
D26152,P417,16000.0
D26144,P2022,16000.0
D26153,P292,16000.0
D26154,P361,16000.0
D26155,P1852,16000.0
D26156,P2024,16000.0
D11542,P312,16000.0
D26092,P1075,16000.0
D15796,P797,16000.0
D26157,P991,16000.0
D6182,P830,16000.0
D26158,P308,16000.0
D26159,P1403,16000.0
D26160,P1403,16000.0
D26161,P2025,16000.0
D22500,P1655,16000.0
D26162,P917,16000.0
D12724,P1627,16000.0
D26163,P1485,16000.0
D26163,P1092,16000.0
D26164,P2026,16000.0
D26165,P52,16010.0
D26166,P1859,16010.0
D25914,P1805,16100.0
D26167,P1769,16200.0
D26167,P1769,16200.0
D21825,P895,16200.0
D26168,P1146,16200.0
D20036,P1075,16200.0
D11431,P1517,16218.0
D26169,P1531,16218.1
D26170,P1396,16265.0
D26171,P617,16280.0
D26172,P1948,16300.0
D22598,P1637,16300.0
D25822,P1805,16300.0
D26173,P1805,16300.0
D26174,P282,16300.0
D26175,P1654,16300.0
D26176,P1469,16300.0
D26177,P1088,16370.0
D26178,P1246,16400.0
D26179,P1396,16400.0
D26180,P1683,16400.0
D26181,P1683,16400.0
D21618,P263,16407.0
D23813,P1245,16430.0
D26182,P91,16480.0
D26183,P2027,16500.0
D15396,P23,16500.0
D25919,P1805,16500.0
D26184,P41,16500.0
D26185,P485,16500.0
D26186,P891,16500.0
D26187,P813,16500.0
D26188,P2028,16540.0
D6866,P1517,16596.0
D12258,P1517,16596.0
D6866,P402,16596.0
D13004,P502,16596.0
D7147,P502,16596.0
D22264,P502,16596.0
D8039,P502,16596.0
D7882,P1674,16600.0
D26189,P1215,16600.0
D25804,P616,16600.0
D22620,P16,16670.0
D22620,P32,16670.0
D23001,P44,16700.0
D26190,P1878,16700.0
D26191,P1805,16700.0
D24854,P44,16700.0
D26192,P1085,16700.0
D177,P16,16700.0
D177,P46,16700.0
D7418,P105,16700.0
D554,P967,16700.0
D923,P34,16700.0
D15328,P30,16700.0
D553,P967,16700.0
D86,P967,16700.0
D26193,P91,16700.0
D26194,P1683,16800.0
