DrugBank_ID,UniProt_ID,Kd(nM)
D12739,P430,22
D12740,P664,22
D86,P31,22
D12741,P374,22
D12742,P374,22
D12743,P1206,22
D12744,P219,22
D12745,P628,22
D12736,P105,22
D131,P34,22
D167,P11,22
D274,P48,22
D135,P44,22
D272,P44,22
D148,P44,22
D350,P44,22
D273,P31,22
D349,P38,22
D130,P967,22
D75,P44,22
D129,P48,22
D88,P105,22
D3482,P46,22
D686,P105,22
D11807,P841,22
D5610,P390,22
D12746,P233,22
D12747,P806,22
D12748,P465,22
D11933,P1207,22
D11933,P1207,22
D3682,P650,22
D11220,P209,22
D222,P65,22
D8086,P252,22
D2536,P65,22
D12749,P72,22
D12749,P72,22
D8086,P252,22
D8086,P252,22
D12750,P41,22
D12750,P41,22
D12751,P1208,22
D12439,P421,22
D12752,P197,22
D12753,P1025,22
D12754,P892,22
D8494,P278,22
D12755,P13,22
D4998,P155,22
D12756,P476,22
D11540,P470,22
D8126,P773,22
D12757,P302,22
D12758,P423,22
D11679,P247,22
D12759,P523,22
D12760,P89,22
D12761,P465,22.1
D11263,P919,22.2
D12762,P465,22.3
D12763,P203,22.3
D12764,P310,22.39
D12764,P310,22.39
D11895,P798,22.39
D12765,P526,22.39
D12766,P465,22.4
D12767,P452,22.6
D12768,P221,22.6
D12769,P2,22.7
D12770,P465,22.7
D12769,P2,22.7
D12771,P465,22.8
D12772,P89,22.9
D12773,P2,22.9
D12773,P2,22.9
D12774,P310,22.91
D10119,P798,22.91
D12775,P25,23
D12776,P136,23
D12777,P427,23
D253,P563,23
D9411,P358,23
D2733,P85,23
D2733,P78,23
D7302,P78,23
D12637,P452,23
D253,P897,23
D12637,P455,23
D621,P722,23
D253,P1209,23
D11581,P702,23
D12778,P452,23
D12779,P817,23
D12779,P817,23
D12780,P80,23
D12781,P450,23
D12782,P1210,23
D11384,P1211,23
D12783,P932,23
D12784,P35,23
D12785,P35,23
D12786,P346,23
D12787,P346,23
D12788,P346,23
D9175,P25,23
D12789,P268,23
D12790,P35,23
D12791,P35,23
D12792,P35,23
D12793,P89,23
D12794,P89,23
D12795,P35,23
D12796,P346,23
D12797,P346,23
D12798,P346,23
D12799,P555,23
D12800,P346,23
D12801,P555,23
D12802,P555,23
D12803,P556,23
D12804,P556,23
D12805,P556,23
D12806,P556,23
D12807,P556,23
D12808,P378,23
D12809,P378,23
D12810,P378,23
D12811,P378,23
D6064,P452,23
D8567,P798,23
D265,P550,23
D4736,P93,23
D3303,P127,23
D621,P520,23
D621,P1064,23
D3303,P1014,23
D3303,P127,23
D5947,P291,23
D1116,P144,23
D265,P897,23
D3303,P1014,23
D331,P209,23
D265,P78,23
D3403,P1023,23
D265,P1209,23
D265,P563,23
D6162,P291,23
D6259,P906,23
D265,P897,23
D265,P563,23
D5947,P291,23
D265,P1209,23
D2733,P78,23
D7302,P78,23
D8003,P197,23
D12529,P1188,23
D12812,P895,23
D12813,P417,23
D12814,P232,23
D12815,P1212,23
D8558,P270,23
D12289,P24,23
D12306,P1166,23
D12816,P1024,23
D2748,P1159,23
D12817,P1213,23
D12818,P1214,23
D12817,P1213,23
D12775,P25,23
D3404,P402,23
D12819,P133,23
D11631,P63,23
D3266,P532,23
D3517,P168,23
D621,P722,23
D3627,P501,23
D3641,P164,23
D6355,P537,23
D2699,P710,23
D3517,P342,23
D705,P187,23
D3516,P78,23
D4959,P675,23
D7186,P291,23
D2699,P111,23
D4477,P358,23
D621,P520,23
D3627,P234,23
D2733,P85,23
D12820,P35,23
D12821,P322,23
D8036,P270,23
D12822,P567,23
D12823,P1042,23
D12824,P807,23
D12825,P439,23
D3356,P601,23
D12826,P197,23
D621,P734,23
D12637,P452,23
D2733,P85,23
D12637,P455,23
D4477,P358,23
D11639,P48,23
D12827,P228,23
D3228,P370,23
D12828,P41,23
D12829,P287,23
D12830,P213,23
D12831,P430,23
D12832,P814,23
D5569,P48,23
D12833,P777,23
D12834,P788,23
D11376,P788,23
D12835,P628,23
D11639,P48,23
D148,P105,23
D1075,P34,23
D5610,P335,23
D5610,P345,23
D5610,P47,23
D9827,P947,23
D12836,P63,23
D12837,P41,23
D7198,P129,23
D8614,P129,23
D1121,P309,23
D12838,P1215,23
D12839,P35,23
D12840,P35,23
D12841,P355,23
D12842,P1216,23
D4816,P252,23
D12439,P421,23
D5993,P65,23
D12843,P116,23
D12844,P476,23
D9113,P773,23
D705,P187,23
D11943,P247,23
D11942,P515,23
D6373,P247,23
D12845,P77,23
D9628,P52,23
D2510,P880,23
D8107,P278,23.1
D12846,P211,23.1
D9196,P48,23.2
D12847,P378,23.2
D12848,P451,23.2
D12849,P451,23.2
D12850,P465,23.2
D12851,P89,23.3
D12852,P451,23.4
D12853,P89,23.4
D12854,P465,23.4
D10076,P175,23.5
D12855,P89,23.5
D12856,P465,23.5
D4351,P189,23.5
D12857,P465,23.6
D12858,P465,23.7
D5643,P366,23.71
D12859,P172,23.8
D12860,P172,23.8
D12861,P451,23.9
D12862,P465,23.9
D12863,P231,24
D46,P377,24
D2651,P885,24
D253,P661,24
D253,P1014,24
D253,P455,24
D7920,P333,24
D4403,P796,24
D2651,P550,24
D253,P1170,24
D12864,P736,24
D4484,P108,24
D12256,P1033,24
D12865,P218,24
D12866,P35,24
D5004,P138,24
D12867,P35,24
D12868,P35,24
D5004,P138,24
D961,P91,24
D961,P91,24
D12869,P346,24
D5004,P138,24
D12870,P35,24
D12871,P35,24
D12872,P35,24
D12873,P35,24
D12874,P89,24
D12875,P35,24
D12876,P35,24
D12877,P346,24
D12878,P346,24
D12879,P818,24
D12880,P556,24
D12881,P556,24
D10629,P430,24
D7278,P378,24
D12882,P378,24
D12883,P452,24
D12884,P432,24
D12884,P432,24
D12885,P10,24
D12886,P10,24
D12777,P47,24
D9205,P93,24
D12887,P1157,24
D12888,P1157,24
D3303,P783,24
D3303,P542,24
D3303,P618,24
D3303,P783,24
D265,P455,24
D7186,P78,24
D265,P661,24
D3303,P542,24
D2651,P550,24
D265,P1014,24
D3303,P618,24
D3403,P87,24
D265,P1170,24
D265,P661,24
D2651,P488,24
D265,P1170,24
D265,P455,24
D265,P1014,24
D4484,P78,24
D12889,P700,24
D12890,P113,24
D12891,P143,24
D12892,P664,24
D409,P48,24
D12306,P1166,24
D9568,P44,24
D12893,P280,24
D12894,P1085,24
D2651,P488,24
D4403,P796,24
D12895,P430,24
D4959,P892,24
D3517,P1217,24
D7920,P333,24
D5835,P1160,24
D3467,P336,24
D4447,P72,24
D5714,P176,24
D12896,P244,24
D12897,P154,24
D4403,P796,24
D2651,P550,24
D7920,P333,24
D579,P1218,24
D294,P676,24
D12777,P47,24
D12407,P197,24
D12898,P979,24
D12899,P333,24
D12900,P77,24
D12901,P186,24
D7611,P398,24
D12902,P405,24
D12903,P405,24
D176,P32,24
D12904,P430,24
D12905,P1198,24
D491,P48,24
D4449,P16,24
D553,P31,24
D12906,P374,24
D12907,P664,24
D12080,P915,24
D9896,P701,24
D12320,P470,24
D12908,P15,24
D7956,P887,24
D1116,P197,24
D5569,P32,24
D50,P967,24
D70,P967,24
D3482,P48,24
D55,P967,24
D6648,P752,24
D5610,P297,24
D12909,P691,24
D12910,P64,24
D12911,P356,24
D12912,P193,24
D12913,P814,24
D7617,P488,24
D12914,P374,24
D12915,P188,24
D12916,P41,24
D12917,P677,24
D1116,P197,24
D12918,P813,24
D12919,P1184,24
D12920,P515,24
D12921,P523,24
D12922,P898,24
D7067,P484,24
D12923,P879,24
D12103,P292,24
D12924,P292,24
D4531,P940,24
D10109,P470,24
D12444,P77,24
D9628,P52,24
D11949,P915,24
D12925,P89,24.1
D12926,P465,24.1
D12927,P378,24.2
D12928,P89,24.2
D6310,P418,24.3
D6310,P418,24.3
D12929,P451,24.3
D12884,P465,24.4
D12930,P694,24.6
D12931,P465,24.6
D6257,P303,24.6
D12932,P221,24.8
D12933,P89,24.9
D12934,P721,25
D8530,P173,25
D7920,P945,25
D621,P796,25
D12935,P736,25
D12936,P55,25
D12937,P1031,25
D12938,P784,25
D12939,P943,25
D12363,P868,25
D12940,P35,25
D12941,P35,25
D12942,P35,25
D12943,P1150,25
D12943,P1150,25
D12944,P1150,25
D12945,P1150,25
D12946,P1150,25
D12947,P1150,25
D12948,P1150,25
D12949,P1150,25
D12950,P1150,25
D12951,P1150,25
D12952,P1150,25
D12953,P1137,25
D12953,P694,25
D12954,P1137,25
D12954,P694,25
D12955,P1137,25
D12955,P694,25
D12956,P1137,25
D12957,P694,25
D12958,P1137,25
D12959,P1137,25
D12959,P694,25
D12960,P1137,25
D12960,P694,25
D12961,P1137,25
D12962,P694,25
D12963,P726,25
D12964,P451,25
D12965,P35,25
D12966,P346,25
D12967,P796,25
D12968,P465,25
D12969,P556,25
D12970,P556,25
D12971,P556,25
D11474,P378,25
D12811,P378,25
D12972,P42,25
D12973,P758,25
D11694,P798,25
D12974,P800,25
D12975,P645,25
D12976,P645,25
D12977,P20,25
D12978,P176,25
D265,P455,25
D12722,P297,25
D12979,P438,25
D3303,P845,25
D3303,P1118,25
D3303,P819,25
D2733,P78,25
D265,P1219,25
D6122,P291,25
D3303,P819,25
D6704,P78,25
D3303,P845,25
D2511,P803,25
D7186,P559,25
D3303,P1118,25
D8003,P470,25
D21,P38,25
D1098,P11,25
D65,P11,25
D5569,P32,25
D12980,P743,25
D12300,P310,25
D621,P796,25
D12981,P895,25
D12982,P211,25
D12983,P41,25
D7564,P270,25
D1070,P105,25
D237,P105,25
D1070,P105,25
D5568,P105,25
D12984,P392,25
D12985,P1220,25
D12986,P65,25
D621,P796,25
D12987,P105,25
D5830,P215,25
D5562,P489,25
D8530,P173,25
D3266,P709,25
D6704,P398,25
D12988,P1039,25
D9885,P250,25
D9885,P1120,25
D12989,P430,25
D3517,P410,25
D3517,P1170,25
D7920,P945,25
D3234,P446,25
D3266,P288,25
D621,P796,25
D12990,P564,25
D2750,P628,25
D12991,P1221,25
D6165,P263,25
D6165,P336,25
D12992,P668,25
D12993,P567,25
D12994,P1042,25
D12995,P807,25
D12996,P807,25
D12997,P154,25
D12998,P1222,25
D621,P796,25
D12999,P197,25
D621,P796,25
D2595,P137,25
D8530,P173,25
D7920,P945,25
D13000,P483,25
D7877,P260,25
D13001,P691,25
D11641,P44,25
D13002,P16,25
D12551,P48,25
D11773,P63,25
D7646,P63,25
D2630,P820,25
D13003,P1044,25
D9230,P135,25
D13004,P287,25
D13005,P1074,25
D951,P48,25
D6784,P16,25
D8432,P44,25
D13006,P123,25
D13007,P1223,25
D13008,P452,25
D352,P44,25
D68,P11,25
D13009,P374,25
D5603,P63,25
D12551,P48,25
D12565,P48,25
D11806,P16,25
D13002,P16,25
D11641,P44,25
D179,P16,25
D122,P44,25
D104,P31,25
D428,P48,25
D107,P48,25
D62,P48,25
D133,P44,25
D87,P38,25
D129,P44,25
D352,P44,25
D107,P31,25
D50,P48,25
D6648,P73,25
D6648,P549,25
D6648,P1056,25
D5610,P410,25
D6648,P390,25
D11213,P586,25
D11213,P593,25
D13010,P292,25
D13011,P1224,25
D13012,P355,25
D12439,P470,25
D13013,P135,25
D13014,P135,25
D900,P76,25
D13015,P356,25
D13016,P77,25
D13017,P332,25
D13018,P346,25
D13019,P346,25
D13018,P346,25
D9474,P155,25
D12339,P589,25
D8499,P197,25
D8499,P421,25
D8499,P155,25
D8499,P155,25
D13020,P312,25
D9402,P821,25.12
D12392,P798,25.12
D13021,P239,25.12
D13022,P239,25.12
D13023,P451,25.2
D13024,P221,25.4
D13025,P2,25.4
D13025,P2,25.4
D11708,P34,25.4
D6533,P652,25.5
D13026,P451,25.6
D13027,P451,25.9
D13028,P2,25.9
D13029,P2,25.9
D13028,P2,25.9
D13029,P2,25.9
D12775,P136,26
D9423,P563,26
D2733,P357,26
D183,P56,26
D9512,P20,26
D621,P325,26
D2733,P1225,26
D7302,P885,26
D3234,P85,26
D5947,P225,26
D12637,P187,26
D253,P1118,26
D13030,P170,26
D13031,P536,26
D13032,P736,26
D13033,P429,26
D13034,P1193,26
D11429,P450,26
D13035,P450,26
D11586,P1226,26
D13036,P35,26
D3650,P866,26
D13037,P35,26
D13038,P35,26
D13039,P35,26
D13040,P725,26
D13041,P346,26
D13042,P35,26
D13043,P35,26
D13044,P35,26
D13045,P35,26
D13046,P89,26
D13047,P89,26
D13033,P89,26
D13048,P35,26
D13049,P346,26
D13050,P346,26
D6701,P225,26
D13051,P555,26
D13052,P555,26
D13053,P556,26
D13054,P556,26
D13055,P556,26
D13056,P432,26
D13056,P432,26
D8407,P24,26
D13057,P143,26
D13058,P798,26
D13059,P143,26
D12041,P41,26
D8403,P24,26
D9512,P20,26
D13060,P176,26
D13061,P1157,26
D265,P437,26
D265,P855,26
D36,P20,26
D3303,P419,26
D3303,P705,26
D3303,P902,26
D3303,P435,26
D3303,P705,26
D4403,P291,26
D331,P209,26
D265,P1118,26
D3303,P419,26
D3627,P829,26
D3517,P291,26
D6162,P291,26
D265,P1227,26
D4403,P488,26
D3303,P435,26
D3303,P902,26
D265,P1118,26
D7302,P488,26
D6162,P291,26
D4403,P291,26
D1098,P30,26
D8399,P24,26
D8399,P24,26
D13062,P41,26
D13063,P1010,26
D621,P325,26
D12627,P63,26
D13064,P1067,26
D13065,P1067,26
D331,P535,26
D5947,P225,26
D621,P325,26
D8422,P730,26
D3265,P858,26
D3266,P464,26
D2733,P1225,26
D5729,P246,26
D3234,P85,26
D9423,P563,26
D2651,P789,26
D3627,P603,26
D2733,P357,26
D6704,P473,26
D7302,P488,26
D13066,P280,26
D7315,P137,26
D4519,P789,26
D2733,P357,26
D2733,P1225,26
D3234,P85,26
D5947,P225,26
D621,P325,26
D12637,P187,26
D9423,P563,26
D11789,P44,26
D11643,P135,26
D13067,P355,26
D3412,P906,26
D13068,P135,26
D352,P30,26
D1074,P34,26
D176,P105,26
D5569,P32,26
D602,P11,26
D58,P31,26
D13069,P197,26
D13070,P573,26
D6487,P642,26
D13071,P832,26
D5976,P16,26
D3212,P105,26
D1074,P34,26
D274,P32,26
D5610,P487,26
D6648,P329,26
D13072,P123,26
D9489,P245,26
D13073,P354,26
D5859,P197,26
D8015,P41,26
D6496,P113,26
D13074,P814,26
D13075,P814,26
D13076,P41,26
D13077,P589,26
D13078,P246,26
D13079,P135,26
D13080,P877,26
D13081,P267,26
D13082,P515,26
D13083,P275,26
D12218,P177,26
D7494,P326,26
D10109,P421,26
D8047,P826,26
D13084,P275,26
D8544,P915,26
D13056,P451,26.1
D13085,P465,26.1
D13086,P189,26.17
D13087,P369,26.3
D10458,P465,26.5
D13088,P338,26.5
D13089,P451,26.6
D13090,P465,26.6
D13091,P374,26.8
D13092,P89,26.8
D9508,P669,26.92
D13093,P44,27
D13094,P231,27
D13095,P231,27
D253,P619,27
D253,P191,27
D6405,P672,27
D2733,P398,27
D253,P1228,27
D253,P1117,27
D227,P199,27
D2651,P297,27
D253,P1229,27
D9944,P191,27
D11839,P1123,27
D8162,P536,27
D13096,P736,27
D13097,P1230,27
D12471,P1231,27
D9127,P1232,27
D11859,P1127,27
D13098,P1233,27
D10204,P1234,27
D13099,P35,27
D13100,P35,27
D13101,P35,27
D13102,P35,27
D2598,P91,27
D2598,P91,27
D13103,P346,27
D13104,P346,27
D13105,P346,27
D13106,P35,27
D13107,P35,27
D13108,P797,27
D13109,P89,27
D13110,P726,27
D13111,P346,27
D13112,P555,27
D13113,P555,27
D13114,P275,27
D13115,P275,27
D13116,P465,27
D13117,P25,27
D13118,P818,27
D13119,P555,27
D13120,P556,27
D13121,P556,27
D13122,P556,27
D13123,P378,27
D13124,P378,27
D7281,P378,27
D13125,P225,27
D8406,P19,27
D13126,P130,27
D13126,P130,27
D13127,P20,27
D13128,P758,27
D7976,P295,27
D13129,P645,27
D13130,P1157,27
D13131,P73,27
D265,P82,27
D12296,P24,27
D3303,P455,27
D7382,P366,27
D3266,P386,27
D4403,P488,27
D3303,P455,27
D265,P194,27
D6596,P488,27
D265,P1228,27
D3265,P209,27
D265,P1229,27
D6405,P672,27
D265,P1117,27
D3517,P1120,27
D13132,P175,27
D265,P1228,27
D265,P78,27
D265,P194,27
D265,P1229,27
D265,P1117,27
D11626,P855,27
D13133,P355,27
D13134,P172,27
D13135,P275,27
D13136,P275,27
D5951,P585,27
D13137,P44,27
D227,P25,27
D332,P16,27
D859,P105,27
D1068,P11,27
D12306,P1166,27
D13138,P164,27
D12537,P48,27
D13139,P382,27
D5942,P130,27
D13140,P164,27
D3517,P845,27
D3517,P357,27
D2651,P297,27
D4835,P398,27
D3627,P1235,27
D3627,P728,27
D701,P246,27
D227,P25,27
D3615,P250,27
D2733,P398,27
D331,P304,27
D2733,P1236,27
D13141,P1168,27
D13141,P1168,27
D13142,P1168,27
D13142,P1168,27
D7315,P861,27
D11782,P861,27
D13143,P315,27
D13144,P346,27
D7095,P797,27
D13145,P244,27
D13146,P807,27
D5578,P439,27
D13147,P401,27
D6405,P672,27
D2733,P398,27
D2651,P297,27
D227,P25,27
D98,P44,27
D13148,P333,27
D13149,P536,27
D6784,P44,27
D13150,P977,27
D13151,P197,27
D12320,P470,27
D13152,P23,27
D9589,P788,27
D271,P30,27
D348,P967,27
D5610,P661,27
D13153,P1237,27
D13154,P1238,27
D13155,P1018,27
D13156,P1184,27
D13157,P617,27
D13158,P1174,27
D13159,P251,27
D13160,P41,27
D13161,P470,27
D4998,P197,27
D12219,P1150,27
D12103,P292,27
D13162,P292,27
D9315,P758,27
D8047,P826,27
D13163,P813,27
D13164,P813,27
D13165,P813,27
D13163,P813,27
D8544,P915,27
D13166,P641,27.2
D8005,P260,27.2
D13167,P943,27.3
D13168,P143,27.3
D13169,P451,27.4
D13170,P121,27.4
D12168,P130,27.54
D11265,P130,27.54
D5661,P890,27.6
D13171,P465,27.6
D11331,P465,27.8
D13172,P465,27.8
D13173,P2,27.9
D13174,P2,27.9
D13175,P44,28
D6122,P466,28
D7302,P272,28
D253,P672,28
D9512,P20,28
D7302,P885,28
D253,P885,28
D621,P930,28
D10143,P945,28
D253,P858,28
D253,P145,28
D6355,P675,28
D253,P1239,28
D13176,P736,28
D13177,P736,28
D9384,P16,28
D12256,P1033,28
D2775,P263,28
D11864,P125,28
D13178,P35,28
D6452,P309,28
D6452,P309,28
D13179,P346,28
D13180,P346,28
D13181,P346,28
D13182,P35,28
D13183,P35,28
D13184,P797,28
D13185,P89,28
D13186,P35,28
D13187,P35,28
D13188,P35,28
D13189,P346,28
D13190,P346,28
D13191,P346,28
D13192,P465,28
D13193,P225,28
D13194,P225,28
D13195,P555,28
D13196,P555,28
D13197,P556,28
D13198,P556,28
D8394,P556,28
D13199,P432,28
D13200,P20,28
D13201,P1157,28
D621,P873,28
D3303,P661,28
D3303,P173,28
D3303,P1082,28
D621,P930,28
D3303,P661,28
D265,P858,28
D265,P488,28
D3303,P1148,28
D265,P145,28
D265,P1239,28
D3403,P78,28
D7302,P488,28
D265,P672,28
D13202,P211,28
D265,P1239,28
D265,P145,28
D265,P858,28
D265,P488,28
D265,P672,28
D8531,P310,28
D4484,P173,28
D13203,P1212,28
D857,P548,28
D13204,P589,28
D6122,P466,28
D9568,P48,28
D7302,P272,28
D6122,P466,28
D227,P412,28
D6355,P675,28
D701,P95,28
D3266,P391,28
D4477,P1070,28
D7302,P128,28
D6122,P291,28
D4835,P173,28
D7186,P796,28
D13205,P346,28
D13206,P238,28
D13207,P567,28
D13208,P807,28
D7302,P488,28
D7302,P272,28
D6122,P466,28
D621,P930,28
D10143,P945,28
D7302,P488,28
D6355,P675,28
D13209,P878,28
D2501,P1240,28
D3255,P266,28
D13210,P1241,28
D12580,P197,28
D13211,P93,28
D13212,P287,28
D3272,P185,28
D13213,P630,28
D12832,P1242,28
D602,P105,28
D4880,P34,28
D13214,P793,28
D13215,P197,28
D13216,P193,28
D13217,P157,28
D13218,P628,28
D13219,P374,28
D182,P31,28
D181,P31,28
D493,P967,28
D2532,P34,28
D5979,P48,28
D116,P38,28
D6719,P1243,28
D5610,P833,28
D5610,P500,28
D397,P91,28
D12580,P197,28
D12580,P555,28
D11810,P354,28
D13220,P72,28
D13220,P72,28
D13221,P135,28
D10137,P945,28
D13222,P1093,28
D13223,P374,28
D13224,P188,28
D5622,P252,28
D11229,P896,28
D4886,P454,28
D5868,P398,28
D13225,P302,28
D6122,P466,28
D13226,P852,28
D13227,P852,28
D9421,P197,28
D5869,P295,28
D4342,P197,28
D13228,P1244,28
D13229,P188,28
D13229,P188,28
D12580,P197,28
D12580,P197,28
D12580,P197,28
D12580,P197,28
D12580,P197,28
D13230,P813,28
D13231,P197,28
D13232,P378,28.2
D13233,P378,28.3
D13234,P89,28.3
D13235,P465,28.4
D13236,P366,28.42
D13237,P177,28.5
D9120,P48,28.6
D13238,P451,28.7
D13199,P465,28.7
D5844,P217,28.84
D12168,P798,28.84
D13239,P465,28.9
D13240,P904,29
D7412,P721,29
D621,P453,29
D6162,P151,29
D253,P70,29
D850,P535,29
D13241,P44,29
D13242,P1009,29
D13243,P80,29
D419,P80,29
D11586,P1234,29
D13244,P218,29
D13245,P218,29
D13246,P218,29
D13247,P35,29
D13248,P35,29
D13249,P35,29
D13249,P35,29
D8369,P797,29
D13250,P346,29
D13251,P346,29
D13252,P262,29
D13253,P35,29
D13254,P35,29
D13255,P35,29
D13256,P35,29
D13257,P35,29
D13258,P89,29
D13259,P726,29
D13260,P451,29
D13261,P89,29
D13262,P346,29
D13263,P346,29
D13264,P796,29
D13265,P556,29
D13266,P556,29
D13267,P556,29
D13268,P556,29
D13269,P556,29
D13270,P556,29
D13271,P556,29
D13272,P556,29
D11472,P378,29
D13199,P432,29
D13273,P1022,29
D13274,P228,29
D13275,P487,29
D9512,P800,29
D9512,P800,29
D13276,P19,29
D13277,P19,29
D3303,P1125,29
D621,P559,29
D3303,P145,29
D3303,P145,29
D3403,P291,29
D331,P209,29
D5728,P65,29
D621,P559,29
D6162,P65,29
D5729,P291,29
D265,P70,29
D3265,P559,29
D3303,P173,29
D6162,P291,29
D3303,P1125,29
D265,P70,29
D6162,P291,29
D6162,P65,29
D21,P44,29
D2502,P48,29
D9884,P291,29
D13278,P72,29
D621,P453,29
D12537,P16,29
D6266,P159,29
D13279,P382,29
D2515,P489,29
D2515,P233,29
D5728,P684,29
D3517,P868,29
D331,P728,29
D3517,P434,29
D3266,P419,29
D331,P603,29
D2733,P790,29
D7186,P700,29
D3266,P609,29
D621,P453,29
D2733,P410,29
D621,P453,29
D4806,P1160,29
D12638,P638,29
D12190,P295,29
D13280,P176,29
D13281,P807,29
D11360,P421,29
D2733,P790,29
D850,P1195,29
D621,P453,29
D13282,P215,29
D13283,P346,29
D5841,P709,29
D11789,P48,29
D11640,P48,29
D98,P44,29
D3255,P195,29
D13284,P135,29
D13285,P771,29
D13286,P771,29
D8012,P78,29
D13287,P212,29
D2502,P48,29
D6906,P44,29
D352,P11,29
D1074,P16,29
D297,P32,29
D7486,P31,29
D13288,P219,29
D13289,P244,29
D11789,P48,29
D11640,P48,29
D98,P44,29
D13290,P917,29
D104,P44,29
D3212,P967,29
D275,P11,29
D352,P11,29
D272,P32,29
D74,P48,29
D131,P105,29
D71,P31,29
D54,P31,29
D115,P38,29
D135,P16,29
D4412,P16,29
D1074,P16,29
D271,P31,29
D59,P31,29
D2704,P11,29
D13291,P354,29
D13292,P41,29
D7766,P129,29
D3291,P1245,29
D13293,P89,29
D13293,P89,29
D13294,P1106,29
D13294,P1106,29
D13295,P41,29
D13295,P41,29
D6914,P49,29
D7767,P945,29
D13296,P176,29
D13297,P355,29
D13298,P739,29
D13299,P896,29
D13300,P949,29
D13301,P852,29
D13302,P116,29
D13303,P41,29
D13160,P41,29
D13304,P41,29
D13305,P423,29
D2687,P466,29
D13306,P247,29
D11681,P209,29
D13307,P20,29
D13308,P89,29.1
D7773,P836,29.1
D13309,P1246,29.3
D13310,P378,29.4
D13311,P147,29.51
D13312,P704,29.51
D9508,P798,29.51
D8529,P130,29.51
D13313,P221,29.8
D13314,P89,29.8
D6122,P125,30
D37,P20,30
D2733,P288,30
D253,P266,30
D253,P824,30
D253,P419,30
D13315,P736,30
D13316,P307,30
D13317,P307,30
D13318,P307,30
D13319,P1247,30
D13320,P1031,30
D13321,P1031,30
D13322,P1031,30
D13323,P1031,30
D13324,P1031,30
D13325,P1031,30
D13326,P1031,30
D13327,P1031,30
D13328,P1031,30
D13329,P1031,30
D13330,P1031,30
D13331,P1031,30
D13332,P1031,30
D13333,P1031,30
D13334,P1031,30
D13335,P1031,30
D13336,P1031,30
D13337,P1031,30
D13338,P1031,30
D13339,P1031,30
D13340,P1031,30
D13341,P307,30
D11277,P326,30
D7221,P295,30
D331,P784,30
D6680,P80,30
D13342,P307,30
D13343,P307,30
D12476,P307,30
D10196,P1032,30
D13344,P218,30
D13345,P317,30
D13346,P35,30
D13347,P79,30
D13348,P307,30
D13349,P307,30
D13350,P307,30
D13351,P307,30
D13352,P307,30
D13353,P307,30
D13354,P307,30
D13355,P307,30
D13356,P307,30
D13357,P307,30
D13358,P307,30
D13359,P307,30
D13360,P307,30
D13361,P307,30
D13362,P41,30
D13363,P35,30
D13364,P35,30
D13365,P35,30
D13366,P35,30
D13367,P89,30
D13368,P89,30
D13369,P555,30
D13348,P307,30
D13349,P307,30
D13350,P307,30
D13351,P307,30
D13352,P307,30
D13370,P307,30
D13371,P307,30
D13355,P307,30
D13356,P307,30
D13357,P307,30
D13358,P307,30
D13359,P307,30
D13360,P307,30
D13361,P307,30
D13372,P465,30
D13373,P465,30
D13374,P465,30
D13375,P465,30
D13376,P225,30
D13377,P555,30
D13378,P1035,30
D13379,P1035,30
D13380,P1035,30
D13381,P1035,30
D13382,P1035,30
D13383,P1035,30
D13384,P1035,30
D13385,P1035,30
D13386,P1035,30
D13387,P1035,30
D13388,P1035,30
D13389,P1035,30
D13390,P1035,30
D13391,P1035,30
D13392,P1035,30
D13393,P1035,30
D10514,P1035,30
D13394,P1035,30
D13395,P1035,30
D13396,P1035,30
D13397,P1035,30
D13398,P1035,30
D13399,P1035,30
D13400,P1035,30
D13401,P1035,30
D13402,P1035,30
D13403,P1035,30
D13404,P1035,30
D13405,P1035,30
D13406,P1035,30
D10580,P1035,30
D13407,P1035,30
D13408,P1035,30
D13409,P1035,30
D13410,P1035,30
D10617,P1035,30
D13411,P556,30
D13412,P556,30
D13413,P378,30
D13414,P378,30
D13415,P1035,30
D13416,P1035,30
D13417,P1035,30
D13418,P1035,30
D13419,P1035,30
D13420,P1035,30
D13421,P1035,30
D13422,P1035,30
D13423,P1035,30
D13424,P1035,30
D13425,P1035,30
D13426,P1035,30
D13427,P1035,30
D13428,P1035,30
D13429,P1035,30
D13430,P1035,30
D13431,P1035,30
D13432,P1035,30
D13433,P1035,30
D13434,P1035,30
D13435,P1035,30
D13436,P1035,30
D13437,P1035,30
D13438,P1035,30
D13439,P1035,30
D13440,P1035,30
D13441,P1035,30
D13442,P1035,30
D13443,P1035,30
D13444,P1035,30
D11102,P1035,30
D13445,P1035,30
D13446,P1035,30
D13447,P1035,30
D13448,P1035,30
D13449,P1035,30
D13450,P1035,30
D13451,P1035,30
D13452,P1035,30
D13453,P1035,30
D13454,P1035,30
D13455,P1035,30
D13445,P1035,30
D13456,P1035,30
D13457,P1035,30
D13458,P1035,30
D13459,P1035,30
D13460,P1035,30
D13461,P1035,30
D13462,P1035,30
D13463,P1035,30
D13464,P1035,30
D13465,P638,30
D846,P205,30
D7850,P71,30
D13466,P933,30
D13467,P473,30
D265,P1228,30
D265,P350,30
D265,P661,30
D13468,P172,30
D13469,P172,30
D3303,P1248,30
D3303,P330,30
D9912,P1221,30
D265,P824,30
D265,P419,30
D3403,P488,30
D265,P1236,30
D3343,P24,30
D1131,P21,30
D3343,P19,30
